City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,te anau,-45.4167,167.7167,15.68,93,68,3.11,NZ,1678270313
239,isangel,-19.55,169.2667,25.35,73,29,4.23,VU,1678270314
240,abu samrah,35.3029,37.1841,17.53,35,100,2.47,SY,1678270314
241,newport,51.5877,-2.9984,1.68,93,100,8.09,GB,1678270050
242,saint-francois,46.4154,3.9054,13.69,68,100,5.66,FR,1678270314
243,zhigansk,66.7697,123.3711,-28.67,100,54,3.17,RU,1678270314
244,samarai,-10.6167,150.6667,28.44,73,44,0.45,PG,1678270314
245,namibe,-15.1961,12.1522,24.37,68,100,4.53,AO,1678270315
246,nebyliv,48.8153,24.2166,6.91,62,76,5.6,UA,1678270315
247,cassilandia,-19.1133,-51.7342,20.19,94,98,1.02,BR,1678270315
248,kavaratti,10.5669,72.642,27.85,62,0,1.41,IN,1678270315
249,alofi,-19.0595,-169.9187,25.55,86,94,7.34,NU,1678270316
250,honiara,-9.4333,159.95,25.99,88,94,1.23,SB,1678270243
251,walvis bay,-22.9575,14.5053,18.94,54,0,3.86,NA,1678270316
252,ayabaca,-4.6398,-79.7149,9.68,99,100,0.69,PE,1678270316
253,agadir,30.4202,-9.5982,18.25,66,15,1.37,MA,1678270224
254,avera,33.194,-82.5271,10.73,38,6,5.89,US,1678270316
255,mago,53.2514,140.1822,-16.74,98,63,0.88,RU,1678270316
256,seoul,37.5683,126.9778,13.66,63,100,2.08,KR,1678270075
257,belaya,49.029,25.7706,6.75,76,99,4.07,UA,1678270317
258,juba,4.8517,31.5825,40.54,15,43,3.19,SS,1678270317
259,nanortalik,60.1432,-45.2371,-3.99,82,88,1.82,GL,1678270317
260,carutapera,-1.195,-46.02,24.68,92,97,3.07,BR,1678270318
261,shar,49.5886,81.0453,2.3,82,100,3.78,KZ,1678270318
262,sungairaya,0.7,108.9,26.9,86,49,2.7,ID,1678270318
263,juneau,58.3019,-134.4197,-6.0,76,0,6.17,US,1678270018
264,ixtapa,20.7,-105.2,18.46,85,0,0.45,MX,1678270318
265,saint-joseph,-21.3667,55.6167,28.21,76,83,6.34,RE,1678270318
266,whitianga,-36.8333,175.7,15.74,86,13,2.67,NZ,1678270319
267,burns lake,54.2331,-125.7533,-11.94,98,100,1.6,CA,1678270320
268,plettenberg bay,-34.0527,23.3716,22.92,62,0,6.75,ZA,1678270320
269,inhambane,-23.865,35.3833,27.61,78,56,7.7,MZ,1678270320
270,otavi,-19.65,17.3333,31.47,16,37,2.08,NA,1678270320
271,wilmington,34.2257,-77.9447,7.72,47,0,2.68,US,1678270048
272,bagdarin,54.4333,113.6,-10.22,87,49,1.61,RU,1678270320
273,mount gambier,-37.8333,140.7667,12.53,65,66,4.16,AU,1678270321
274,albion,42.2431,-84.753,-0.55,59,0,2.06,US,1678270321
275,kanniyakumari,8.0833,77.5667,29.89,63,2,9.96,IN,1678270321
276,san joaquin,37.9333,-121.3011,7.07,79,75,2.57,US,1678270322
277,kodiak,57.79,-152.4072,6.73,76,0,8.23,US,1678270322
278,lebu,-37.6167,-73.65,14.78,97,98,2.46,CL,1678270322
279,okhotsk,59.3833,143.3,-21.98,96,57,1.11,RU,1678270323
280,fortuna,40.5982,-124.1573,3.29,96,100,0.89,US,1678270323
281,escarcega,18.6089,-90.7454,19.3,89,97,1.4,MX,1678270323
282,algiers,36.7525,3.042,17.9,68,20,4.12,DZ,1678270096
283,saint-raymond,45.467,-73.6095,-3.38,72,100,4.12,CA,1678270324
284,kpandae,8.4689,-0.0113,33.86,42,75,4.38,GH,1678270324
285,quang ngai,15.1167,108.8,23.41,79,34,2.33,VN,1678270324
286,ust-kulom,61.6864,53.6902,-5.53,88,98,2.09,RU,1678270324
287,koslan,63.4564,48.8989,-6.65,89,100,2.96,RU,1678270325
288,kavieng,-2.5744,150.7967,26.4,82,100,5.09,PG,1678270325
289,norman wells,65.282,-126.8329,-23.97,97,40,3.68,CA,1678270325
290,bereda,43.2686,-7.5406,14.67,100,100,5.4,ES,1678270325
291,esperance,-33.8667,121.9,18.89,68,41,8.4,AU,1678270325
292,fort-de-france,14.6089,-61.0733,19.97,94,75,1.54,MQ,1678270325
293,baykit,61.67,96.37,-6.67,93,100,1.62,RU,1678270036
294,porto uniao,-26.2381,-51.0783,15.77,98,83,0.06,BR,1678270325
295,casper,42.8666,-106.3131,-16.22,84,0,3.6,US,1678270326
296,lorengau,-2.0226,147.2712,26.96,80,100,3.05,PG,1678270326
297,barcelona,41.3888,2.159,19.14,56,0,5.14,ES,1678270061
298,goderich,43.7501,-81.7165,-0.05,69,5,9.74,CA,1678270326
299,sur,22.5667,59.5289,29.64,36,0,4.94,OM,1678270326
300,cabo san lucas,22.8909,-109.9124,20.84,73,89,3.76,MX,1678270326
301,olafsvik,64.8945,-23.7142,-4.77,60,92,11.79,IS,1678270326
302,ifanadiana,-21.3,47.6333,25.44,88,100,1.7,MG,1678270327
303,laguna,38.421,-121.4238,7.28,77,100,3.6,US,1678270327
304,chumikan,54.7183,135.315,-15.07,93,3,2.73,RU,1678270327
305,hamilton,39.1834,-84.5333,0.8,58,0,6.69,US,1678270224
306,cockburn town,21.4612,-71.1419,24.08,69,14,2.68,TC,1678270327
307,honningsvag,70.9821,25.9704,-2.14,74,75,6.17,NO,1678270327
308,dingle,10.9995,122.6711,26.57,84,55,3.6,PH,1678270328
309,tongren,27.7172,109.1853,19.0,82,73,1.37,CN,1678270328
310,ayan,56.45,138.1667,-14.68,89,92,1.66,RU,1678270328
311,fagaras,45.85,24.9667,9.58,63,100,4.47,RO,1678270328
312,kollam,8.8833,76.6,29.66,59,2,4.07,IN,1678270310
313,kununurra,-15.7667,128.7333,34.99,36,28,3.09,AU,1678270328
314,kandi,11.1342,2.9386,35.99,27,36,3.17,BJ,1678270092
315,kitimat,54.0524,-128.6534,-3.94,65,97,2.96,CA,1678270329
316,komsomolskiy,40.4272,71.7189,19.4,27,100,7.2,UZ,1678270329
317,saint-louis,16.3333,-15.0,32.63,10,0,7.21,SN,1678270329
318,klaksvik,62.2266,-6.589,-0.49,53,100,9.98,FO,1678270329
319,westport,41.1415,-73.3579,-0.38,65,0,7.2,US,1678270329
320,aksarka,66.5606,67.7975,-20.47,88,38,4.94,RU,1678270329
321,cantaura,9.3057,-64.3584,21.7,85,91,4.94,VE,1678270330
322,vitim,59.4511,112.5578,-6.67,94,75,1.81,RU,1678270330
323,katsuura,35.1333,140.3,15.31,64,0,6.68,JP,1678270330
324,tazovskiy,67.4667,78.7,-25.21,95,77,4.93,RU,1678270330
325,nome,64.5011,-165.4064,-4.35,100,100,6.69,US,1678270330
326,port macquarie,-31.4333,152.9167,20.5,85,44,2.26,AU,1678270330
327,xining,36.6167,101.7667,11.85,13,24,1.03,CN,1678270331
328,aklavik,68.2191,-135.0107,-21.9,92,16,9.92,CA,1678270331
329,tuatapere,-46.1333,167.6833,16.13,81,98,3.18,NZ,1678270331
330,chernyshevskiy,63.0128,112.4714,-7.47,96,100,1.35,RU,1678270331
331,constitucion,-35.3333,-72.4167,12.83,86,56,1.39,CL,1678270332
332,eenhana,-17.4667,16.3333,31.36,30,99,3.37,NA,1678270332
333,ketchikan,55.3422,-131.6461,-1.01,46,100,4.12,US,1678270332
334,mangrol,21.1167,70.1167,29.06,47,0,5.82,IN,1678270333
335,maniwaki,46.3834,-75.966,-9.4,89,94,4.48,CA,1678270333
336,east london,-33.0153,27.9116,32.27,46,0,3.06,ZA,1678270172
337,vestmanna,62.1564,-7.1664,-1.49,59,40,4.12,FO,1678270333
338,odweyne,9.4092,45.064,29.8,20,19,4.38,SO,1678270333
339,gwembe,-16.4975,27.6069,24.86,65,99,2.25,ZM,1678270334
340,mao,39.8885,4.2658,17.31,59,0,4.63,ES,1678270334
341,nizwa,22.9333,57.5333,31.35,16,2,3.66,OM,1678270334
342,hammerfest,70.6634,23.6821,-4.75,93,100,8.23,NO,1678270335
343,saint anthony,45.0205,-93.218,1.18,58,100,6.17,US,1678270335
344,lumeje,-11.55,20.7833,21.25,83,100,2.4,AO,1678270335
345,sydney mines,46.2367,-60.2177,2.65,93,75,9.83,CA,1678270061
346,waverly,42.7392,-84.6208,-1.95,64,0,1.54,US,1678270335
347,luanda,-8.8368,13.2343,29.0,65,75,2.57,AO,1678270060
348,ust-omchug,61.15,149.6333,-30.63,100,26,0.64,RU,1678270335
349,noumea,-22.2763,166.4572,24.99,72,0,4.92,NC,1678270335
350,baruun-urt,46.6806,113.2792,3.43,39,3,4.22,MN,1678270336
351,uusikaupunki,60.8004,21.4084,-3.96,84,100,6.69,FI,1678270336
352,freeport,40.6576,-73.5832,0.14,62,75,8.75,US,1678270336
353,thinadhoo,0.5333,72.9333,27.95,75,11,5.2,MV,1678270336
354,atkarsk,51.8718,45.0078,0.75,100,100,4.13,RU,1678270182
355,manaus,-3.1019,-60.025,25.27,94,75,1.03,BR,1678270334
356,mayumba,-3.432,10.6554,28.09,75,94,3.95,GA,1678270336
357,vestmannaeyjar,63.4427,-20.2734,-1.45,31,0,5.14,IS,1678270223
358,abha,18.2164,42.5053,23.14,27,20,6.17,SA,1678270282
359,inongo,-1.95,18.2667,28.87,65,100,1.77,CD,1678270337
360,javanrud,34.7961,46.5172,9.91,97,100,4.82,IR,1678270337
361,callaway,30.153,-85.5699,21.65,98,20,2.06,US,1678270337
362,kannur,11.8675,75.3576,30.74,45,1,5.21,IN,1678270337
363,vanimo,-2.6741,141.3028,26.0,83,88,2.8,PG,1678270337
364,zeya,53.75,127.2667,-6.11,92,100,2.64,RU,1678270337
